,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed,Team,Unnamed: 9
0,Trae Young,24.0,37096500,40064220,43031940,45999660,48967380,0,215159700,ATL,
1,John Collins,25.0,23500000,25340000,26580000,26580000,0,0,102000000,ATL,
2,Clint Capela,28.0,18706896,20616000,22265280,0,0,0,61588176,ATL,
3,Bogdan Bogdanović,30.0,18000000,18000000,0,0,0,0,36000000,ATL,
4,Dejounte Murray,26.0,16571120,17714000,0,0,0,0,34285120,ATL,
5,De'Andre Hunter,25.0,9835881,20089286,21696429,23303571,24910714,0,99835881,ATL,
6,Onyeka Okongwu,22.0,6395160,8109063,0,0,0,0,14504223,ATL,
7,Justin Holiday,33.0,6292440,0,0,0,0,0,6292440,ATL,
8,AJ Griffin,19.0,3536160,3712920,3889920,5967137,0,0,7249080,ATL,
9,Jalen Johnson,21.0,2792640,2925360,4510905,0,0,0,5718000,ATL,
10,Aaron Holiday,26.0,1836090,0,0,0,0,0,1836090,ATL,
11,Frank Kaminsky,29.0,1836090,0,0,0,0,0,1836090,ATL,
12,Vit Krejci,22.0,1563518,1836096,1988598,0,0,0,781759,ATL,
13,Tyrese Martin,23.0,1017781,1719864,0,0,0,0,0,ATL,
14,Jarrett Culver,23.0,0,0,0,0,0,0,0,ATL,
15,Trent Forrest,24.0,0,0,0,0,0,0,0,ATL,
16,Team Totals,0.0,148980276,160126809,123963072,101850368,73878094,0,587086559,ATL,
0,Jayson Tatum,24.0,30351780,32600060,34848340,37096620,0,0,97800180,BOS,0.0
1,Jaylen Brown,26.0,28741071,30723215,0,0,0,0,59464286,BOS,0.0
2,Al Horford,36.0,26500000,10000000,9500000,0,0,0,46000000,BOS,0.0
3,Malcolm Brogdon,30.0,22600000,22500000,22500000,0,0,0,67600000,BOS,0.0
4,Marcus Smart,28.0,17207142,18583713,19960284,21336855,0,0,77087994,BOS,0.0
5,Derrick White,28.0,16892857,18107143,19321429,0,0,0,54321429,BOS,0.0
6,Robert Williams,25.0,10937502,11812501,12687500,13562499,0,0,49000002,BOS,0.0
