,Unnamed: 1,Age,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS/G
0,Dejounte Murray,26,36.5,8.2,18.2,0.448,2.0,5.7,0.348,6.2,12.5,2.3,2.8,0.843,5.5,6.3,1.7,0.4,2.5,20.6
1,Trae Young,24,35.8,8.7,21.0,0.414,2.2,7.2,0.31,6.5,13.8,7.8,8.8,0.89,3.0,10.0,0.8,0.2,3.8,27.5
2,Bogdan Bogdanović,30,31.1,6.5,14.7,0.442,3.5,8.6,0.408,3.0,6.1,1.1,1.4,0.8,3.7,2.4,0.7,0.4,1.4,17.6
3,De'Andre Hunter,25,31.0,5.4,12.0,0.448,1.4,4.1,0.353,3.9,7.9,2.8,3.4,0.82,4.1,1.2,0.4,0.3,1.2,15.0
4,John Collins,25,30.7,5.0,10.1,0.497,0.7,3.2,0.226,4.3,6.9,2.2,2.7,0.797,7.9,1.2,0.8,1.3,1.3,12.9
5,Clint Capela,28,27.5,5.4,8.6,0.636,0.0,0.0,0.0,5.4,8.6,1.1,1.9,0.6,11.9,0.7,0.6,1.3,1.0,12.0
6,Onyeka Okongwu,22,23.3,3.8,6.1,0.621,0.0,0.1,0.0,3.8,6.0,1.7,2.3,0.735,7.2,0.9,0.6,1.1,1.0,9.3
7,AJ Griffin,19,21.6,4.1,8.8,0.464,1.7,4.5,0.369,2.4,4.3,0.4,0.5,0.875,2.3,1.0,1.0,0.1,0.8,10.3
8,Aaron Holiday,26,16.9,1.8,4.2,0.436,0.7,1.6,0.442,1.2,2.7,0.6,0.7,0.826,1.5,1.6,0.7,0.2,0.7,5.0
9,Jalen Johnson,21,15.7,2.0,4.5,0.446,0.3,1.6,0.214,1.7,2.9,0.8,1.1,0.711,3.7,1.0,0.5,0.5,0.5,5.1
10,Justin Holiday,33,15.0,1.7,4.5,0.377,1.1,3.1,0.341,0.6,1.4,0.0,0.0,0.0,0.9,0.9,0.2,0.4,0.4,4.5
11,Trent Forrest,24,14.1,1.5,3.1,0.478,0.0,0.1,0.0,1.5,2.9,0.1,0.2,0.667,1.7,1.9,0.4,0.1,0.5,3.1
12,Jarrett Culver,23,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.9,1.3,0.692,3.8,0.6,0.6,0.2,0.7,4.4
13,Frank Kaminsky,29,7.6,1.0,1.8,0.567,0.5,1.1,0.444,0.5,0.7,0.5,0.5,1.0,1.5,0.9,0.1,0.0,0.4,2.9
14,Vit Krejci,22,6.6,0.6,1.6,0.385,0.3,1.1,0.294,0.3,0.6,0.1,0.1,0.5,0.7,0.6,0.1,0.1,0.2,1.6
15,Tyrese Martin,23,3.8,0.5,1.5,0.375,0.1,0.5,0.2,0.5,1.0,0.2,0.2,1.0,0.5,0.0,0.1,0.0,0.1,1.4
0,Jayson Tatum,24,36.9,10.1,21.4,0.473,3.2,9.2,0.35,6.9,12.2,7.4,8.7,0.855,8.1,4.1,1.2,0.9,2.7,30.9
1,Jaylen Brown,26,35.7,10.2,20.5,0.495,2.5,7.6,0.336,7.6,13.0,4.2,5.3,0.804,7.3,3.4,1.2,0.4,3.1,27.1
2,Marcus Smart,28,33.2,4.1,9.6,0.423,1.8,5.3,0.337,2.3,4.3,1.3,1.7,0.772,3.3,7.4,1.4,0.4,2.2,11.2
3,Al Horford,36,30.8,3.7,7.5,0.49,2.1,4.8,0.444,1.5,2.7,0.2,0.3,0.625,6.3,2.6,0.4,1.1,0.6,9.7
4,Grant Williams,24,27.8,3.1,6.0,0.516,1.6,3.7,0.439,1.5,2.3,1.3,1.5,0.849,4.7,1.6,0.8,0.3,0.9,9.0
